crop_type,farm_size_hectares,region,soil_type,rainfall_mm,temperature_celsius,fertilizer_used,yield_kg
rice,8.35,Rivers,loamy,1474.9,25.9,1,42135.4
yam,0.94,Kaduna,loamy,998.0,29.1,1,10542.5
cassava,5.94,Bauchi,silty,1239.9,30.5,0,67152.6
rice,5.52,Kano,silty,1984.3,29.6,0,14408.7
maize,3.28,Rivers,silty,1600.2,25.6,0,6678.2
rice,5.65,Plateau,loamy,1302.3,27.9,1,23606.1
cassava,7.2,Bauchi,clay,1237.7,23.9,1,103659.2
cassava,6.28,Kaduna,sandy,972.3,27.3,1,71295.0
tomato,9.98,Rivers,clay,800.7,28.6,1,132599.0
maize,8.55,Benue,silty,1456.1,27.6,1,25723.9
yam,2.2,Lagos,silty,625.9,25.3,1,22495.5
cassava,4.66,Bauchi,silty,865.2,23.5,1,54612.7
maize,6.97,Bauchi,silty,1085.9,23.8,0,14120.2
tomato,8.92,Rivers,sandy,1235.4,29.8,1,127219.3
maize,4.66,Bauchi,loamy,1401.0,24.3,1,13171.4
tomato,7.9,Kano,loamy,790.5,27.5,1,149171.0
maize,7.66,Kaduna,loamy,1088.4,33.2,1,19575.2
yam,3.34,Plateau,loamy,1033.4,26.7,1,43468.7
tomato,8.77,Benue,loamy,1336.5,31.5,1,176137.0
tomato,9.38,Lagos,loamy,2314.4,23.9,1,92449.5
cassava,5.53,Oyo,clay,836.8,26.9,1,60039.9
pepper,7.33,Rivers,sandy,1638.9,25.1,1,50697.1
cassava,9.39,Lagos,clay,1882.9,24.7,0,77954.4
pepper,7.1,Benue,silty,1712.1,25.9,0,46407.5
yam,3.98,Kaduna,sandy,893.7,26.7,1,36772.3
tomato,4.37,Lagos,silty,1183.9,27.5,1,74274.3
pepper,1.41,Oyo,loamy,1228.9,29.2,1,15698.8
cassava,7.41,Bauchi,sandy,1291.2,28.4,0,63633.7
cowpea,3.36,Bauchi,sandy,730.7,28.1,1,3582.6
maize,4.73,Kaduna,loamy,693.9,27.1,1,14476.5
pepper,2.99,Rivers,sandy,1154.2,27.4,1,23561.4
rice,8.73,Benue,loamy,891.1,31.4,1,31437.9
yam,7.33,Plateau,sandy,798.5,29.5,0,50955.3
cassava,4.65,Kano,sandy,971.5,22.8,1,47706.6
cowpea,9.48,Plateau,clay,1436.3,26.3,0,11012.5
rice,9.57,Kano,clay,2083.7,24.0,0,19724.8
cowpea,1.67,Lagos,sandy,913.0,26.0,0,1517.3
rice,8.52,Kano,loamy,1379.4,32.4,1,27637.6
maize,2.68,Rivers,clay,1257.4,29.6,1,6173.3
tomato,5.79,Oyo,sandy,491.0,20.9,1,42789.4
rice,4.43,Kaduna,sandy,2095.3,24.2,1,10616.2
pepper,2.75,Rivers,clay,1077.8,28.2,1,21304.7
cassava,8.73,Kano,clay,688.9,29.2,1,78122.9
tomato,4.4,Rivers,silty,1215.1,26.1,0,63512.8
tomato,0.59,Kaduna,loamy,979.1,23.7,1,9932.9
pepper,0.65,Bauchi,silty,1589.6,25.4,1,4782.5
tomato,4.84,Lagos,silty,998.5,28.7,1,72736.4
maize,5.28,Benue,clay,543.4,25.6,1,7553.2
yam,9.84,Kaduna,clay,506.4,22.2,0,56780.7
cowpea,0.92,Oyo,loamy,1504.6,27.9,1,1324.1
cowpea,8.15,Bauchi,sandy,1009.3,31.9,1,8582.3
tomato,1.65,Oyo,loamy,1421.6,32.3,1,23332.3
pepper,1.26,Oyo,loamy,1463.6,25.7,1,11802.9
pepper,7.42,Benue,loamy,1399.1,24.1,1,69943.3
yam,3.91,Bauchi,silty,1755.9,23.0,1,33052.9
rice,9.7,Kaduna,sandy,761.0,28.9,0,23833.2
cassava,1.1,Benue,clay,2014.0,28.1,1,10028.7
rice,9.83,Bauchi,loamy,1496.7,29.7,1,46152.5
yam,9.84,Oyo,loamy,716.3,27.2,1,119309.0
cowpea,8.14,Rivers,loamy,1560.3,26.0,0,10944.4
tomato,3.57,Rivers,clay,1603.5,23.2,0,39146.9
cassava,3.49,Lagos,sandy,1302.9,24.4,1,36373.0
maize,7.2,Lagos,sandy,788.2,23.1,1,12885.5
rice,7.69,Rivers,sandy,852.0,26.8,1,23920.8
rice,8.51,Kaduna,clay,212.6,28.7,0,14454.3
rice,8.99,Kano,clay,1535.9,28.2,1,32943.1
rice,7.58,Kano,loamy,576.7,31.3,1,21385.7
pepper,3.79,Kaduna,clay,1551.1,24.2,1,27802.0
cassava,4.98,Kaduna,clay,810.1,26.5,1,58744.9
rice,4.28,Plateau,silty,1470.7,26.7,1,14905.8
cowpea,1.66,Kaduna,sandy,1452.6,26.6,0,1452.7
cowpea,4.64,Kano,loamy,1425.6,29.7,1,7384.7
pepper,5.77,Kaduna,clay,1504.3,27.2,1,54882.7
tomato,1.5,Bauchi,silty,953.3,28.2,1,25127.0
tomato,2.68,Plateau,sandy,680.0,25.2,1,29376.9
cassava,1.29,Rivers,silty,875.0,33.2,1,11118.9
tomato,7.75,Lagos,silty,1168.2,28.5,0,127389.6
tomato,3.4,Oyo,sandy,1605.3,24.1,0,38554.5
cowpea,3.47,Oyo,silty,1728.4,28.3,1,4173.2
pepper,1.71,Kano,loamy,1154.4,25.9,1,18992.6
tomato,5.83,Plateau,loamy,1038.0,28.0,0,101927.1
cassava,3.23,Kano,loamy,1572.3,29.9,1,48727.9
maize,7.23,Plateau,clay,1605.5,24.9,1,18156.3
rice,1.48,Bauchi,silty,740.5,25.3,1,5302.2
rice,1.7,Plateau,silty,906.3,35.0,1,4691.6
pepper,3.95,Benue,clay,1249.3,25.1,0,32803.6
rice,6.68,Kano,silty,1494.5,23.4,1,22745.8
cassava,1.16,Rivers,sandy,1488.5,24.7,0,9270.2
yam,3.68,Kaduna,sandy,917.3,28.1,0,29153.5
yam,3.25,Bauchi,silty,911.4,29.0,1,33456.1
yam,7.82,Lagos,silty,1180.8,29.0,1,84571.5
tomato,5.85,Kano,clay,1749.4,30.1,1,66396.6
pepper,2.05,Rivers,clay,799.3,25.6,1,15492.2
yam,6.11,Plateau,silty,418.1,32.5,1,43536.7
rice,0.97,Oyo,loamy,1674.0,23.2,1,4091.7
cassava,2.55,Rivers,clay,1006.7,30.2,0,22291.6
cowpea,6.33,Bauchi,loamy,710.7,31.3,1,6354.4
pepper,5.2,Rivers,sandy,1717.0,27.9,0,29972.1
cowpea,1.84,Rivers,loamy,985.8,25.1,0,2275.0
cassava,8.55,Kaduna,loamy,1442.0,28.5,1,128132.8
rice,1.39,Rivers,loamy,1336.1,28.0,1,5849.8
yam,7.99,Lagos,sandy,1464.9,24.1,0,58695.1
rice,7.76,Oyo,clay,1497.7,29.0,1,26251.3
maize,7.59,Kaduna,clay,1460.9,23.7,1,17881.7
maize,4.69,Plateau,loamy,1144.1,27.4,1,15710.7
pepper,2.18,Rivers,sandy,1644.8,27.6,1,13651.7
rice,9.44,Oyo,loamy,1790.0,26.4,1,31636.2
cowpea,0.62,Lagos,clay,1288.1,28.6,1,808.5
tomato,5.71,Kaduna,silty,739.6,24.1,1,76810.0
rice,0.6,Rivers,loamy,1298.0,29.9,1,2964.1
maize,6.37,Plateau,clay,1113.7,23.5,1,16167.2
pepper,3.29,Oyo,clay,1820.3,23.3,0,16445.1
yam,2.12,Oyo,clay,1021.0,29.0,1,19335.8
cowpea,7.78,Bauchi,clay,1275.1,24.8,0,8446.0
rice,6.1,Oyo,loamy,1507.0,27.0,1,21394.3
rice,8.58,Rivers,loamy,1952.3,20.6,1,23827.9
cassava,4.8,Kaduna,sandy,1805.9,28.2,0,30561.9
tomato,0.61,Oyo,sandy,1382.9,24.9,1,8135.4
maize,0.79,Plateau,clay,200.0,26.7,0,1206.7
rice,4.43,Plateau,clay,843.0,28.8,1,12679.2
yam,6.08,Lagos,sandy,876.5,24.2,1,55432.5
yam,9.48,Bauchi,clay,1521.3,23.2,1,98177.2
yam,9.64,Benue,silty,1533.3,25.1,1,99451.4
cassava,6.31,Oyo,sandy,564.5,27.8,1,59241.2
pepper,6.68,Rivers,clay,1257.5,26.7,1,68361.7
cowpea,7.76,Lagos,sandy,1510.8,27.3,1,8814.4
pepper,2.27,Kaduna,sandy,1206.4,27.4,0,13835.3
cowpea,6.28,Bauchi,sandy,489.3,30.8,1,5235.0
maize,6.16,Plateau,silty,851.4,25.2,1,17338.6
yam,1.91,Rivers,loamy,1650.9,21.8,1,18037.3
yam,4.8,Plateau,clay,1100.3,23.5,1,45872.4
rice,4.22,Rivers,silty,1042.6,22.7,1,12218.0
tomato,3.58,Rivers,sandy,1169.8,30.0,1,57077.2
pepper,8.66,Bauchi,clay,1543.9,30.1,1,60172.0
cowpea,4.19,Kaduna,silty,782.1,32.4,1,4007.8
cowpea,3.24,Benue,loamy,1278.0,24.3,1,5817.1
maize,8.88,Oyo,clay,1529.8,27.2,1,19251.9
maize,4.18,Kaduna,clay,1042.8,29.0,0,8022.2
cassava,3.62,Kaduna,loamy,814.8,24.9,0,35274.5
cowpea,4.9,Benue,clay,1073.3,28.0,1,6535.9
cowpea,3.44,Kaduna,clay,1456.4,31.5,1,3620.3
maize,6.73,Kano,loamy,961.6,29.2,0,16275.5
rice,5.13,Plateau,clay,1190.5,24.5,0,12796.5
yam,9.94,Kano,clay,753.7,30.6,0,64842.2
tomato,8.1,Lagos,silty,1015.1,22.2,1,121381.0
pepper,4.39,Plateau,clay,1095.3,28.6,1,38645.5
cowpea,8.93,Kano,clay,704.1,21.5,1,7602.6
yam,9.31,Lagos,silty,2392.7,32.2,1,46965.5
tomato,2.66,Plateau,sandy,865.0,20.7,1,25568.6
yam,5.11,Oyo,sandy,1038.4,26.7,0,39399.4
tomato,1.79,Kaduna,clay,854.5,25.7,1,22513.4
rice,9.99,Oyo,clay,1243.6,26.2,1,43822.8
cassava,3.5,Plateau,clay,945.5,25.3,1,35726.1
cassava,3.28,Plateau,loamy,1534.6,25.2,1,45741.1
rice,5.95,Kaduna,loamy,994.6,29.9,0,19069.0
cassava,8.7,Plateau,sandy,509.7,28.8,1,63641.4
tomato,6.81,Rivers,clay,1973.3,27.8,1,66892.8
yam,7.16,Kaduna,loamy,1181.8,31.5,0,73051.7
tomato,3.2,Rivers,clay,855.5,29.5,1,44012.7
rice,4.76,Oyo,silty,1182.3,21.9,0,12751.9
pepper,4.6,Kano,loamy,1604.3,37.6,0,21404.4
yam,2.37,Lagos,sandy,864.4,25.7,0,17860.9
pepper,3.61,Lagos,sandy,1040.3,27.0,1,30772.7
tomato,6.11,Rivers,loamy,1222.0,29.7,1,117168.3
cassava,5.78,Kaduna,silty,925.4,30.5,0,52152.9
yam,4.64,Benue,silty,1522.5,26.8,0,42772.4
maize,5.34,Kano,silty,649.4,23.6,0,5800.1
tomato,5.03,Oyo,silty,1230.1,26.6,1,80273.5
pepper,7.65,Kaduna,sandy,1247.1,22.5,0,47000.4
cowpea,8.53,Plateau,silty,1852.4,30.9,1,9433.2
rice,3.48,Bauchi,clay,1455.2,23.0,0,8705.7
yam,5.58,Bauchi,loamy,777.3,25.0,1,60596.2
pepper,5.36,Benue,loamy,1201.6,25.2,1,62358.5
pepper,0.58,Kano,silty,1292.8,26.4,1,5706.2
pepper,4.67,Rivers,sandy,1176.6,29.5,0,27222.4
pepper,9.95,Rivers,clay,1981.9,24.4,1,61307.9
cassava,8.26,Bauchi,sandy,912.8,32.1,1,62983.6
cassava,7.31,Kaduna,clay,1723.8,23.5,1,74083.1
cowpea,4.05,Rivers,sandy,639.1,33.3,0,2567.3
tomato,0.57,Plateau,silty,968.7,21.2,0,5283.1
pepper,8.4,Benue,silty,1088.3,27.0,0,71178.1
cowpea,5.51,Kaduna,loamy,488.9,25.6,0,4515.4
tomato,6.26,Oyo,sandy,1738.6,31.3,1,69373.4
tomato,0.69,Plateau,clay,1330.2,31.5,0,8318.9
maize,0.86,Rivers,loamy,1067.2,28.0,1,2431.9
cowpea,3.89,Oyo,silty,1329.0,31.8,0,3619.3
pepper,6.29,Plateau,silty,571.4,24.2,1,47017.2
pepper,8.2,Rivers,clay,1078.6,28.7,1,64231.4
tomato,5.98,Bauchi,sandy,436.4,29.3,0,51219.7
tomato,3.74,Plateau,silty,1359.6,28.5,1,58612.9
yam,5.79,Rivers,loamy,1814.4,28.8,1,50512.4
pepper,3.02,Lagos,loamy,1466.4,30.1,1,31574.2
rice,2.99,Lagos,loamy,1101.6,31.5,1,13296.6
cassava,9.45,Kano,loamy,834.4,22.5,0,93928.9
yam,5.81,Kaduna,silty,985.1,30.7,1,62898.8
cowpea,6.49,Lagos,silty,764.6,29.0,1,6277.7
cowpea,7.73,Bauchi,sandy,2015.3,25.4,1,6495.6
pepper,8.22,Plateau,clay,1110.5,23.2,1,68022.1
cowpea,5.57,Oyo,sandy,1208.9,30.3,1,5515.0
cowpea,3.81,Kano,sandy,1072.8,30.2,1,3765.1
yam,4.22,Plateau,loamy,1575.5,31.3,1,42768.4
tomato,2.94,Kaduna,loamy,766.2,26.7,1,48574.2
rice,9.92,Bauchi,sandy,928.9,26.0,1,32472.8
cowpea,2.59,Benue,clay,1132.9,25.4,1,3738.3
cowpea,8.33,Plateau,loamy,1123.0,28.8,1,12794.0
cassava,5.41,Bauchi,silty,504.7,29.5,1,57600.9
cowpea,9.37,Rivers,clay,1515.9,29.0,1,12796.6
maize,4.29,Rivers,silty,1032.9,28.6,1,10419.9
tomato,1.47,Kano,silty,1545.6,26.7,1,29133.3
pepper,8.02,Oyo,clay,1245.1,24.9,0,58033.0
maize,8.1,Plateau,loamy,504.2,26.8,1,19010.5
maize,6.43,Bauchi,sandy,1486.5,32.1,1,10886.9
cowpea,8.95,Plateau,sandy,1499.0,27.9,1,9815.5
cassava,7.05,Benue,silty,1397.8,27.7,1,84921.8
pepper,3.05,Plateau,silty,1992.0,28.9,0,20587.7
rice,5.57,Kano,loamy,1048.9,23.6,1,26389.9
yam,4.39,Kano,clay,1118.3,36.4,0,21485.6
cassava,6.73,Benue,loamy,1193.9,23.7,1,90890.4
pepper,6.56,Oyo,sandy,1361.6,26.7,1,51278.7
maize,1.75,Kaduna,clay,1311.0,25.6,1,4755.8
maize,3.1,Oyo,loamy,1479.6,25.1,1,9338.3
cowpea,2.09,Kano,loamy,1169.5,25.6,1,3947.8
yam,0.5,Rivers,loamy,1374.7,28.2,0,5575.0
cowpea,8.83,Kaduna,sandy,1927.9,27.1,1,9047.2
pepper,5.26,Plateau,sandy,1354.6,31.1,1,34650.1
pepper,5.6,Oyo,sandy,1173.4,27.5,1,41446.2
rice,9.04,Oyo,clay,1562.0,26.3,1,31406.1
cassava,7.7,Benue,silty,1885.7,28.1,0,61960.5
cassava,7.05,Bauchi,sandy,1635.9,30.2,1,72006.0
rice,2.29,Rivers,loamy,1193.8,30.8,1,9675.2
cowpea,2.86,Kaduna,loamy,913.8,30.4,0,3097.7
pepper,2.92,Rivers,clay,961.4,21.4,0,14127.8
maize,0.93,Oyo,silty,909.9,25.6,0,2035.6
cowpea,2.64,Plateau,loamy,421.4,23.0,1,2779.8
yam,5.38,Rivers,silty,1370.5,30.0,1,72413.4
tomato,5.36,Plateau,clay,968.4,34.1,1,69124.7
maize,6.48,Plateau,sandy,853.2,27.3,0,10673.6
cassava,5.3,Rivers,sandy,1525.4,25.8,1,53802.5
maize,4.27,Kaduna,silty,1723.3,24.2,1,10297.0
cassava,8.15,Lagos,silty,1530.7,30.9,0,83587.1
pepper,5.24,Rivers,sandy,884.2,26.8,1,36452.0
pepper,8.19,Benue,clay,1343.5,26.0,1,82847.5
maize,4.01,Rivers,silty,1333.6,23.4,1,12302.6
cassava,8.51,Bauchi,clay,781.0,28.7,1,95464.1
cassava,1.57,Kano,silty,1100.4,27.9,0,18881.9
rice,2.21,Kano,loamy,1382.6,26.6,1,10249.5
yam,2.34,Kaduna,silty,2500.0,28.6,1,14921.6
cowpea,2.32,Benue,silty,1746.2,29.4,1,2367.3
tomato,1.04,Benue,loamy,1519.0,31.5,0,13347.1
yam,4.89,Benue,loamy,1281.0,29.3,1,57288.9
maize,7.76,Plateau,loamy,1231.0,23.7,1,24927.9
cowpea,3.36,Kano,loamy,1058.9,22.7,1,4213.4
yam,6.17,Kaduna,loamy,1100.2,27.3,0,70066.0
yam,6.18,Bauchi,sandy,1076.0,32.3,1,61582.7
cowpea,6.35,Bauchi,loamy,927.7,27.3,0,7381.0
maize,3.26,Lagos,silty,1448.2,30.1,0,6249.3
pepper,1.91,Bauchi,sandy,1800.1,24.6,0,10311.1
tomato,3.57,Kaduna,loamy,2015.0,33.3,0,29217.1
cassava,3.87,Rivers,silty,1590.2,28.6,0,36933.2
rice,5.13,Kaduna,loamy,1991.7,27.1,1,19695.9
pepper,7.39,Bauchi,sandy,995.4,24.2,1,44201.9
maize,3.16,Rivers,sandy,1861.0,26.0,1,5706.6
yam,7.65,Plateau,clay,1254.8,18.5,1,66124.0
yam,2.2,Oyo,sandy,793.0,25.7,1,12284.9
cowpea,4.91,Bauchi,loamy,1214.2,28.1,1,8056.7
rice,5.67,Rivers,silty,1000.6,27.7,1,21732.3
cassava,2.81,Rivers,silty,841.4,24.9,0,28566.7
cassava,3.2,Kano,silty,1195.8,28.2,0,37441.0
maize,9.52,Benue,sandy,1125.6,28.8,1,18987.3
maize,6.87,Lagos,clay,380.2,25.0,1,11087.7
pepper,3.67,Benue,loamy,1444.0,26.9,0,35332.1
yam,6.6,Kaduna,sandy,1726.4,31.5,1,46718.2
rice,1.19,Benue,silty,294.7,28.9,0,2710.3
maize,8.33,Kano,loamy,1305.7,26.6,0,21830.5
tomato,2.0,Plateau,sandy,516.4,24.0,0,15444.2
rice,2.22,Plateau,silty,744.3,30.5,1,6587.9
pepper,7.52,Lagos,sandy,906.1,22.8,1,40300.6
yam,9.14,Kaduna,clay,905.0,25.0,1,92109.3
maize,7.85,Kano,silty,618.5,26.9,1,17181.7
rice,4.77,Oyo,loamy,1527.2,28.4,0,17377.6
tomato,7.36,Benue,silty,897.8,26.7,1,114703.9
cassava,8.13,Bauchi,sandy,1773.5,23.6,1,78133.3
tomato,2.39,Oyo,sandy,1182.4,26.0,0,29132.8
tomato,1.39,Benue,sandy,200.0,26.1,1,10938.5
yam,6.1,Rivers,loamy,879.1,25.5,0,56768.9
tomato,4.05,Rivers,silty,584.5,25.0,1,45612.4
cassava,0.87,Plateau,loamy,1484.8,24.1,1,14246.9
yam,6.67,Plateau,loamy,1032.9,23.7,1,74269.8
cassava,5.32,Kano,clay,1023.0,27.0,0,56347.5
tomato,4.89,Bauchi,sandy,1718.9,25.3,1,57115.6
cowpea,8.54,Rivers,sandy,590.9,27.9,1,8789.9
maize,2.4,Kaduna,silty,1256.8,28.9,1,7445.7
pepper,9.45,Plateau,sandy,739.7,27.0,0,46129.8
tomato,5.07,Rivers,sandy,1940.0,24.9,0,39115.3
cassava,8.03,Rivers,loamy,1808.4,27.3,0,81046.3
maize,5.97,Bauchi,silty,812.9,21.9,1,12464.5
pepper,8.47,Oyo,sandy,1231.5,32.3,1,64107.6
pepper,0.81,Kaduna,clay,984.0,23.6,1,6468.3
pepper,6.87,Benue,loamy,664.1,30.7,1,52904.8
cassava,2.81,Lagos,loamy,1216.5,28.0,1,39789.6
cowpea,7.39,Benue,loamy,871.8,31.0,1,8931.5
maize,3.72,Lagos,loamy,506.5,31.1,1,7566.3
pepper,9.95,Rivers,silty,581.5,31.0,1,66688.1
rice,1.41,Lagos,silty,1266.6,26.2,0,5026.1
maize,2.9,Rivers,silty,2284.1,28.6,1,4671.3
rice,2.75,Lagos,sandy,1919.6,26.9,0,6248.1
maize,8.0,Benue,clay,799.4,27.3,1,20793.8
tomato,8.84,Benue,silty,910.1,27.0,0,115178.4
cowpea,6.55,Kano,loamy,789.6,28.8,1,8450.3
rice,4.28,Lagos,silty,1783.5,29.2,1,16275.7
rice,0.64,Lagos,silty,1528.4,24.3,1,2572.8
rice,8.0,Rivers,loamy,792.5,27.6,0,23809.8
rice,6.64,Plateau,sandy,1242.5,25.1,1,20874.1
cowpea,3.65,Plateau,loamy,1185.4,27.2,1,6810.7
rice,9.79,Benue,loamy,651.7,30.6,0,28140.7
tomato,5.41,Oyo,sandy,894.5,28.4,0,48462.3
maize,4.47,Oyo,loamy,1404.3,31.8,1,12793.4
cassava,6.9,Kano,clay,1227.2,25.4,0,76622.4
yam,2.4,Bauchi,sandy,1452.4,29.3,1,21429.4
tomato,8.39,Rivers,loamy,1380.4,26.8,0,133074.6
yam,9.33,Bauchi,sandy,1654.2,32.6,1,63313.9
tomato,9.42,Plateau,silty,1850.8,22.0,1,107076.2
maize,6.33,Kano,clay,1153.0,24.4,1,15131.4
pepper,6.39,Bauchi,clay,1069.3,28.6,0,46245.3
rice,1.25,Kaduna,clay,774.0,26.4,1,5143.2
pepper,6.89,Benue,sandy,765.4,24.9,0,32827.6
tomato,7.37,Benue,loamy,1468.0,29.1,1,141246.4
tomato,7.62,Rivers,sandy,1800.6,23.0,1,77646.3
yam,4.23,Benue,clay,1285.0,24.0,1,46166.8
pepper,5.8,Bauchi,clay,1168.1,26.4,0,47111.0
tomato,5.11,Plateau,silty,1103.6,27.7,1,77557.7
cowpea,4.05,Kaduna,sandy,1037.2,28.2,1,3969.5
cowpea,3.51,Plateau,loamy,993.3,26.5,1,5736.0
pepper,3.66,Oyo,clay,1842.7,25.9,0,19800.1
tomato,7.62,Benue,silty,1133.7,27.1,0,101943.3
rice,6.71,Plateau,silty,1586.7,23.2,1,25534.4
maize,7.81,Rivers,silty,1290.7,27.0,0,22001.4
cassava,6.38,Bauchi,loamy,608.1,29.7,1,72309.0
rice,5.03,Rivers,sandy,1259.6,31.6,0,10407.6
cowpea,4.8,Bauchi,sandy,1377.9,28.1,1,5858.3
cowpea,9.4,Rivers,sandy,633.8,29.9,1,7296.3
cassava,5.99,Benue,loamy,938.5,30.9,1,69438.0
pepper,6.32,Plateau,loamy,1796.7,25.6,0,40487.1
rice,5.12,Oyo,sandy,1015.9,26.7,0,14273.6
maize,2.79,Lagos,sandy,1232.0,28.0,1,7956.0
pepper,3.74,Benue,loamy,796.0,30.3,1,34957.4
yam,0.84,Benue,clay,834.6,26.9,0,6785.3
yam,7.67,Oyo,sandy,863.7,28.4,1,63126.8
cowpea,8.68,Plateau,silty,851.6,32.8,0,6958.6
maize,0.87,Kaduna,loamy,820.1,28.0,1,2277.8
cowpea,0.8,Plateau,silty,1131.1,29.1,1,1173.8
cassava,8.62,Kaduna,silty,1467.3,23.0,1,103289.4
rice,5.15,Kaduna,loamy,902.7,23.0,1,18496.2
yam,6.35,Kaduna,clay,767.3,29.3,0,43328.7
rice,4.34,Kano,silty,1156.5,30.2,0,13202.5
pepper,2.25,Rivers,clay,581.3,25.8,1,17144.9
tomato,6.95,Benue,sandy,578.8,22.8,1,75492.8
rice,0.63,Lagos,loamy,1192.9,33.0,0,1925.1
yam,9.33,Rivers,loamy,912.5,28.9,0,74667.2
rice,8.59,Bauchi,loamy,1233.5,31.0,1,39090.0
rice,9.77,Plateau,clay,1273.2,24.0,1,37345.1
yam,2.08,Rivers,sandy,1709.0,23.9,0,11396.0
yam,2.97,Plateau,loamy,1924.1,28.2,1,27849.5
rice,4.14,Bauchi,clay,882.0,25.0,1,16274.8
rice,7.84,Kano,silty,988.4,29.3,1,28907.8
rice,7.4,Lagos,clay,606.2,28.1,0,16493.8
maize,0.69,Kano,loamy,1464.2,26.6,0,1792.2
cassava,2.52,Lagos,silty,2254.7,27.4,1,18854.3
cassava,8.32,Oyo,silty,241.6,25.0,0,45073.1
tomato,7.9,Kano,loamy,835.7,25.2,1,131827.7
maize,8.39,Lagos,sandy,429.2,22.6,1,11238.1
pepper,6.84,Benue,clay,1136.1,29.4,1,57915.5
pepper,5.1,Oyo,clay,1066.6,29.7,0,31388.7
pepper,1.24,Rivers,sandy,1269.8,21.9,1,7751.4
maize,4.2,Bauchi,clay,1826.4,20.7,0,5530.1
yam,2.91,Plateau,silty,1752.0,25.5,0,19552.6
cowpea,5.73,Kano,sandy,569.9,30.7,0,3365.4
pepper,1.7,Plateau,loamy,1576.8,28.3,1,14883.2
tomato,8.8,Plateau,sandy,1198.4,26.2,1,124361.4
pepper,8.3,Kaduna,loamy,841.1,24.6,1,70377.7
pepper,6.19,Oyo,clay,978.7,30.9,0,28282.5
rice,6.21,Kaduna,loamy,928.6,29.3,1,24097.9
cowpea,1.75,Oyo,clay,997.6,27.5,0,1829.5
pepper,8.69,Rivers,clay,1566.7,26.1,1,67696.8
rice,5.91,Benue,loamy,1754.3,27.0,1,21366.6
maize,9.71,Lagos,silty,533.4,32.0,1,16067.4
tomato,3.06,Plateau,clay,768.9,28.0,1,39369.3
rice,3.3,Kaduna,silty,1496.7,20.7,0,8970.8
rice,5.81,Oyo,clay,2066.9,23.7,0,11903.9
rice,7.59,Benue,sandy,1379.8,22.6,1,20076.6
maize,6.87,Rivers,sandy,1697.9,29.6,1,11922.9
yam,7.09,Plateau,clay,1115.9,29.7,1,64057.2
pepper,5.02,Lagos,sandy,1130.5,31.0,0,26893.4
maize,4.53,Rivers,sandy,1183.8,32.8,1,9174.6
maize,1.48,Oyo,sandy,2003.8,23.9,1,2156.2
pepper,4.64,Lagos,sandy,1459.6,26.9,1,33657.4
cassava,7.6,Benue,loamy,887.0,26.5,1,111401.7
tomato,2.84,Kaduna,loamy,1738.2,25.4,1,44332.9
cowpea,5.34,Kano,loamy,2128.8,24.4,1,4967.2
maize,4.6,Lagos,sandy,1220.9,32.5,0,7619.7
cowpea,8.18,Lagos,clay,1600.1,29.1,0,7796.5
pepper,7.53,Kano,silty,445.3,32.9,1,42507.6
cassava,1.7,Plateau,sandy,1134.7,30.3,1,19950.1
tomato,1.01,Bauchi,sandy,1293.4,21.5,0,9096.7
maize,6.13,Kaduna,sandy,990.9,24.3,0,11634.0
maize,3.32,Rivers,clay,1803.6,21.0,1,5059.9
cassava,6.67,Kaduna,silty,1788.2,24.4,0,48078.8
cassava,2.31,Benue,sandy,1515.2,27.4,1,25922.0
cowpea,4.62,Bauchi,sandy,1904.7,30.7,1,3345.0
yam,3.08,Oyo,silty,658.9,29.8,0,22800.7
cowpea,4.39,Benue,silty,2233.4,23.0,1,3337.8
pepper,2.64,Benue,clay,1111.6,35.2,1,14667.9
tomato,2.91,Plateau,loamy,1374.8,32.5,1,46235.3
yam,2.5,Lagos,sandy,843.8,23.3,1,16728.5
cassava,6.66,Plateau,sandy,1427.5,28.1,1,70969.7
yam,6.14,Kaduna,silty,1365.0,23.0,1,61531.8
tomato,2.14,Kaduna,sandy,1530.8,22.5,1,25078.6
pepper,5.49,Bauchi,silty,1322.5,35.0,1,42589.0
yam,3.39,Kano,silty,1386.1,29.5,1,41466.0
cassava,5.93,Rivers,loamy,1512.4,29.0,0,67131.2
tomato,7.03,Kaduna,clay,1337.3,26.9,1,103362.4
maize,5.91,Rivers,clay,771.0,26.7,1,15005.0
tomato,7.44,Plateau,sandy,1597.8,29.8,1,85110.2
cowpea,0.53,Bauchi,sandy,1870.2,25.3,1,487.5
cassava,7.41,Lagos,silty,1489.9,24.6,1,100836.0
cowpea,6.18,Lagos,clay,1896.1,24.2,1,5574.4
pepper,4.18,Bauchi,loamy,1013.3,29.5,1,41691.2
yam,8.19,Kaduna,silty,971.8,32.3,1,73989.7
tomato,0.71,Oyo,loamy,1129.8,26.7,1,13685.0
cassava,6.79,Bauchi,sandy,1579.7,21.7,1,61910.5
tomato,9.03,Bauchi,sandy,1377.4,26.6,1,140889.5
tomato,2.7,Rivers,silty,1142.3,28.0,1,52131.4
rice,7.45,Lagos,clay,1215.9,28.1,0,20893.5
tomato,3.96,Oyo,loamy,1323.6,26.8,0,75880.8
yam,4.24,Oyo,silty,1291.4,25.2,0,39091.9
yam,0.65,Plateau,sandy,1354.5,30.4,1,6914.5
